title,description,timeLimit,passingScore,gradeName,subjectName,topicName,question,points,order,option1_text,option1_isCorrect,option1_explanation,option2_text,option2_isCorrect,option2_explanation,option3_text,option3_isCorrect,option3_explanation,option4_text,option4_isCorrect,option4_explanation
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Family,Who is your mothers mother?,1,1,Grandmother,TRUE,She is your grandmother,Mother,FALSE,She is your mom,Sister,FALSE,Not correct,Aunt,FALSE,Aunt is moms sister
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Family,Who is your fathers son?,1,2,Brother,TRUE,Brother is fathers son,Sister,FALSE,Sister is daughter,Uncle,FALSE,He is fathers brother,Friend,FALSE,Not a family member
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Family,Who cooks food at home?,1,3,Mother,TRUE,Usually mother cooks food,Teacher,FALSE,Teaches in school,Doctor,FALSE,Heals us,Driver,FALSE,Drives vehicle
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Family,Who protects the house?,1,4,Father,TRUE,Father protects us,Friend,FALSE,Not main family,Driver,FALSE,Drives vehicles,Postman,FALSE,Delivers letters
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Family,We all live in a __?,1,5,Family,TRUE,We live in a family,Class,FALSE,Class is at school,Zoo,FALSE,For animals,Office,FALSE,Workplace
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Parts of the house,Where do we sleep?,1,1,Bedroom,TRUE,Bedroom has bed,Kitchen,FALSE,We cook there,Bathroom,FALSE,We bathe there,Living room,FALSE,For sitting
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Parts of the house,Where do we cook food?,1,2,Kitchen,TRUE,Kitchen is for cooking,Bedroom,FALSE,We sleep there,Bathroom,FALSE,Not used for food,Garden,FALSE,Outside area
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Parts of the house,Where do we take a bath?,1,3,Bathroom,TRUE,Bathroom is for bathing,Kitchen,FALSE,Not correct,Bedroom,FALSE,We sleep there,Roof,FALSE,On top
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Parts of the house,Where do guests sit?,1,4,Living room,TRUE,Guests sit in living room,Bathroom,FALSE,Not for guests,Balcony,FALSE,Not main sitting area,Kitchen,FALSE,Not for guests
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Parts of the house,Where do we eat food?,1,5,Dining room,TRUE,We eat there,Bathroom,FALSE,Not correct,Bedroom,FALSE,We rest there,Garden,FALSE,Outside
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Different parts of home,What is above the house?,1,1,Roof,TRUE,Roof covers the top,Floor,FALSE,Under feet,Wall,FALSE,On sides,Gate,FALSE,Entrance
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Different parts of home,What do we open to enter the house?,1,2,Door,TRUE,We enter through doors,Window,FALSE,Windows are not for entry,Wall,FALSE,Walls dont open,Roof,FALSE,Not for entry
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Different parts of home,What do we see through?,1,3,Window,TRUE,We look out through windows,Wall,FALSE,Walls are solid,Gate,FALSE,For entry,Table,FALSE,Furniture
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Different parts of home,Where do we walk in the house?,1,4,Floor,TRUE,Floors are for walking,Roof,FALSE,On top,Wall,FALSE,Not used for walking,Window,FALSE,For looking
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Different parts of home,What surrounds the house?,1,5,Walls,TRUE,Walls surround the house,Roof,FALSE,Covers top,Floor,FALSE,Inside house,Window,FALSE,Just for viewing
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Machines at home,Which machine keeps food cold?,1,1,Refrigerator,TRUE,Keeps food cold,TV,FALSE,Used for watching,Washing Machine,FALSE,Washes clothes,Fan,FALSE,Cools room
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Machines at home,Which machine washes clothes?,1,2,Washing Machine,TRUE,Used to wash clothes,Oven,FALSE,Used to cook,Refrigerator,FALSE,Keeps food,Fan,FALSE,Air flow
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Machines at home,Which machine shows videos?,1,3,Television,TRUE,We watch videos on TV,Oven,FALSE,Used for cooking,Fan,FALSE,Used for cooling,Heater,FALSE,Heats rooms
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Machines at home,Which machine cools the room?,1,4,Fan,TRUE,Fan gives cool air,TV,FALSE,Entertainment,Oven,FALSE,Used for heating,Iron,FALSE,Used for pressing
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Machines at home,Which machine helps in cooking?,1,5,Microwave,TRUE,Microwave heats and cooks,TV,FALSE,Entertainment,Washing Machine,FALSE,Cleans clothes,Fan,FALSE,Cools air
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Types of houses,Which house is made of mud?,1,1,Hut,TRUE,Huts are made of mud,Bungalow,FALSE,Big house,Apartment,FALSE,In buildings,Igloo,FALSE,Made of ice
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Types of houses,Which house is big and strong?,1,2,Bungalow,TRUE,Bungalows are big,Hut,FALSE,Small and weak,Tent,FALSE,Temporary,Treehouse,FALSE,On trees
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Types of houses,What is a house made of ice called?,1,3,Igloo,TRUE,Igloo is made of ice,Hut,FALSE,Not correct,Bungalow,FALSE,Concrete,Flat,FALSE,Apartment
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Types of houses,What is a movable house called?,1,4,Caravan,TRUE,Caravan can move,Hut,FALSE,Fixed house,Bungalow,FALSE,Stationary house,Apartment,FALSE,Building house
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Types of houses,Where do many families live together?,1,5,Apartment,TRUE,Many live in apartments,Hut,FALSE,Only one family,Igloo,FALSE,Cold regions,Bungalow,FALSE,Usually one family
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Places around us,Where do we buy food items?,1,1,Market,TRUE,We buy food from market,Hospital,FALSE,Treats sick,School,FALSE,For learning,Post office,FALSE,Sends letters
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Places around us,Where do we go when we are sick?,1,2,Hospital,TRUE,Doctors help us there,School,FALSE,For studying,Market,FALSE,For buying items,Park,FALSE,For playing
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Places around us,Where do children go to study?,1,3,School,TRUE,Children study in school,Temple,FALSE,Place of worship,Hospital,FALSE,For treatment,Bank,FALSE,For money
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Places around us,Where do we post letters?,1,4,Post office,TRUE,Used for posting letters,Hospital,FALSE,Treats people,Market,FALSE,Buy things there,Park,FALSE,Play area
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Places around us,Where do we go for fun and play?,1,5,Park,TRUE,We play in parks,Bank,FALSE,Deals with money,Hospital,FALSE,For treatment,School,FALSE,For studying
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Places of worship,Where do Hindus pray?,1,1,Temple,TRUE,Hindus pray in temples,Mosque,FALSE,Muslims pray there,Church,FALSE,Christians pray there,Gurudwara,FALSE,Sikhs pray there
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Places of worship,Where do Muslims pray?,1,2,Mosque,TRUE,Muslims pray in mosque,Church,FALSE,Not correct,Temple,FALSE,Hindu place of worship,Gurudwara,FALSE,For Sikhs
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Places of worship,Where do Christians pray?,1,3,Church,TRUE,Christians go to church,Temple,FALSE,Hindu place of worship,Mosque,FALSE,Muslim place,Gurudwara,FALSE,For Sikhs
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Places of worship,Where do Sikhs pray?,1,4,Gurudwara,TRUE,Sikhs go to Gurudwara,Mosque,FALSE,Muslims pray there,Church,FALSE,Christians pray,Temple,FALSE,For Hindus
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Places of worship,What do we do at places of worship?,1,5,Pray,TRUE,We pray to God,Eat,FALSE,Not correct,Sleep,FALSE,Not allowed,Run,FALSE,Not suitable
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Parts of plant,Which part of plant grows under the soil?,1,1,Root,TRUE,Roots grow underground,Leaf,FALSE,Grows above,Flower,FALSE,On top,Stem,FALSE,Above ground
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Parts of plant,Which part is green and flat?,1,2,Leaf,TRUE,Leaves are green and flat,Root,FALSE,Underground,Flower,FALSE,Colorful part,Fruit,FALSE,We eat it
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Parts of plant,Which part of plant becomes fruit?,1,3,Flower,TRUE,Fruits grow from flowers,Stem,FALSE,Supports plant,Root,FALSE,In soil,Leaf,FALSE,Makes food
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Parts of plant,Which part gives support?,1,4,Stem,TRUE,Stem holds the plant,Flower,FALSE,For beauty,Leaf,FALSE,For food making,Fruit,FALSE,We eat it
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Parts of plant,Which part of plant we eat sometimes?,1,5,Fruit,TRUE,Fruits are edible,Stem,FALSE,Not usually eaten,Leaf,FALSE,Not always edible,Root,FALSE,Not always
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Types of plants,Which plant is very small?,1,1,Herb,TRUE,Herbs are small plants,Tree,FALSE,Very big,Climber,FALSE,Needs support,Shrub,FALSE,Bushy plant
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Types of plants,Which plant is big and strong?,1,2,Tree,TRUE,Trees are tall and strong,Shrub,FALSE,Smaller than tree,Herb,FALSE,Very small,Climber,FALSE,Needs support
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Types of plants,Which plant needs support to grow?,1,3,Climber,TRUE,Climbers need support,Tree,FALSE,Stands alone,Herb,FALSE,Small plant,Shrub,FALSE,Bushy plant
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Types of plants,Which plant is bushy?,1,4,Shrub,TRUE,Shrubs are bushy,Climber,FALSE,Needs support,Tree,FALSE,Tall plant,Herb,FALSE,Small plant
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Types of plants,Which of these is a tree?,1,5,Mango Tree,TRUE,Mango is a tree,Grass,FALSE,Herb,Tulsi,FALSE,Herb,Money Plant,FALSE,Climber
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Things plants need to grow,What do plants need from the sun?,1,1,Sunlight,TRUE,Sunlight helps plants grow,Water,FALSE,Different need,Air,FALSE,Not main one,Fruit,FALSE,Not a need
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Things plants need to grow,What do we pour to water the plants?,1,2,Water,TRUE,Water is needed for growth,Juice,FALSE,Not correct,Milk,FALSE,Not suitable,Oil,FALSE,Not needed
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Things plants need to grow,What do plants breathe?,1,3,Air,TRUE,Plants need air,Water,FALSE,Used for drinking,Sand,FALSE,Soil type,Fire,FALSE,Dangerous
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Things plants need to grow,What do roots absorb?,1,4,Water,TRUE,Roots take in water,Light,FALSE,Leaves do that,Heat,FALSE,Not suitable,Fruit,FALSE,Not needed
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Things plants need to grow,Where do we grow plants?,1,5,Soil,TRUE,Plants grow in soil,Plastic,FALSE,Not suitable,Glass,FALSE,Not natural,Cotton,FALSE,Wrong
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Vegetables,Which of the following is a vegetable?,1,1,Carrot,TRUE,Carrot is a vegetable,Apple,FALSE,It's a fruit,Mango,FALSE,It's a fruit,Banana,FALSE,It's a fruit
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Vegetables,What is the color of spinach?,1,2,Green,TRUE,Spinach is green in color,Red,FALSE,Wrong color,Yellow,FALSE,Wrong color,Blue,FALSE,Wrong color
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Vegetables,Which vegetable is round and red?,1,3,Tomato,TRUE,Tomato is red and round,Potato,FALSE,Brown and oval,Brinjal,FALSE,Purple in color,Cabbage,FALSE,Green and leafy
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Vegetables,Which part of the plant is a carrot?,1,4,Root,TRUE,Carrot is a root,Leaf,FALSE,Not correct,Fruit,FALSE,Fruits grow on trees,Stem,FALSE,Carrot is not a stem
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Vegetables,Which vegetable makes you cry while cutting?,1,5,Onion,TRUE,Onion causes tears,Peas,FALSE,No effect,Cabbage,FALSE,Does not cause tears,Carrot,FALSE,No tears
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Fruits,Which of these is a fruit?,1,1,Mango,TRUE,Mango is a fruit,Carrot,FALSE,Vegetable,Potato,FALSE,Vegetable,Tomato,FALSE,Used as vegetable
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Fruits,Which fruit is yellow and curved?,1,2,Banana,TRUE,Banana is yellow and curved,Apple,FALSE,Red and round,Grapes,FALSE,Small and round,Guava,FALSE,Green outside
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Fruits,Which fruit is red and sweet?,1,3,Apple,TRUE,Apples are red and sweet,Lemon,FALSE,Sour,Mango,FALSE,Yellow and sweet,Pineapple,FALSE,Has thorns
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Fruits,Which fruit has small seeds outside?,1,4,Strawberry,TRUE,Strawberry has seeds outside,Orange,FALSE,Seeds inside,Grapes,FALSE,No seeds visible,Banana,FALSE,Seeds not visible
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Fruits,Which of these fruits is juicy?,1,5,Watermelon,TRUE,Watermelon is juicy,Potato,FALSE,Not a fruit,Onion,FALSE,Vegetable,Beans,FALSE,Vegetable
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Green leafy vegetables,Which of the following is green and leafy?,1,1,Spinach,TRUE,Spinach is green leafy veg,Tomato,FALSE,Red fruit,Carrot,FALSE,Orange root,Apple,FALSE,Fruit
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Green leafy vegetables,Which leafy vegetable is rich in iron?,1,2,Spinach,TRUE,Spinach is rich in iron,Brinjal,FALSE,Not leafy,Peas,FALSE,Green but not leafy,Onion,FALSE,Not leafy
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Green leafy vegetables,Which one is used to make saag?,1,3,Mustard leaves,TRUE,Used to make saag,Tomato,FALSE,Used in salad,Mango,FALSE,Fruit,Potato,FALSE,Not leafy
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Green leafy vegetables,What color are leafy vegetables?,1,4,Green,TRUE,They are green,Red,FALSE,Wrong color,Yellow,FALSE,Not correct,Blue,FALSE,Not a vegetable color
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Green leafy vegetables,Which of these is a leafy vegetable?,1,5,Fenugreek,TRUE,Its a leafy vegetable,Pumpkin,FALSE,Not leafy,Onion,FALSE,Root vegetable,Beans,FALSE,Not leafy
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Flowers,Which flower is red and has thorns?,1,1,Rose,TRUE,Rose is red and has thorns,Lily,FALSE,White and smooth,Lotus,FALSE,National flower,Marigold,FALSE,Yellow in color
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Flowers,Which flower floats on water?,1,2,Lotus,TRUE,Lotus grows on water,Rose,FALSE,Grows on land,Sunflower,FALSE,On land,Marigold,FALSE,On land
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Flowers,Which flower follows the sun?,1,3,Sunflower,TRUE,It turns to face sun,Rose,FALSE,Doesnt follow sun,Lily,FALSE,Doesnt follow sun,Jasmine,FALSE,No such feature
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Flowers,Which flower is white and used in garlands?,1,4,Jasmine,TRUE,Jasmine is fragrant and used in garlands,Rose,FALSE,Thorny,Lily,FALSE,Larger flower,Lotus,FALSE,Grows in water
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Flowers,Which flower is orange or yellow and round?,1,5,Marigold,TRUE,Marigolds are orange/yellow,Sunflower,FALSE,Has seeds,Lily,FALSE,Not round,Rose,FALSE,Not round
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Healthy and junk food,Which of these is a healthy food?,1,1,Fruits,TRUE,Fruits are healthy food,Chips,FALSE,Junk food,Cold drink,FALSE,Not healthy,Candy,FALSE,Sugar-rich
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Healthy and junk food,Which food should we avoid eating too much?,1,2,Burger,TRUE,Too much burger is unhealthy,Apple,FALSE,Healthy,Fish,FALSE,Protein rich,Milk,FALSE,Needed
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Healthy and junk food,Which drink is healthy?,1,3,Milk,TRUE,Milk makes us strong,Cold drink,FALSE,Too much sugar,Tea,FALSE,Not for kids,Juice,FALSE,Not always pure
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Healthy and junk food,Which snack is unhealthy?,1,4,Chips,TRUE,Chips are fried food,Nuts,FALSE,Healthy snack,Fruits,FALSE,Healthy choice,Vegetables,FALSE,Healthy
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Healthy and junk food,What happens if we eat too much junk food?,1,5,We get sick,TRUE,Junk food causes health problems,We become strong,FALSE,Wrong effect,We sleep well,FALSE,Not true,We become happy,FALSE,Short-term joy only
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Wild and farm animals,Which of the following is a wild animal?,1,1,Lion,TRUE,Lion lives in the jungle,Cow,FALSE,Farm animal,Goat,FALSE,Domestic animal,Dog,FALSE,Pet animal
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Wild and farm animals,Which of the following lives on a farm?,1,2,Cow,TRUE,Cows are farm animals,Tiger,FALSE,Tiger is wild animal,Elephant,FALSE,Wild animal,Lion,FALSE,Wild animal
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Wild and farm animals,Which of these animals gives us milk?,1,3,Cow,TRUE,Cows give milk,Duck,FALSE,Lays eggs,Dog,FALSE,Pet animal,Cat,FALSE,Pet animal
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Wild and farm animals,Where do wild animals live?,1,4,Forest,TRUE,Wild animals live in forests,House,FALSE,Pet animals live here,School,FALSE,No animals live here,Park,FALSE,Not their natural home
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Wild and farm animals,Which animal helps the farmer in ploughing fields?,1,5,Bull,TRUE,Bulls help plough fields,Lion,FALSE,Wild animal,Tiger,FALSE,Wild animal,Dog,FALSE,Pet
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,"Herbivorous , carnivorours and omnivorouss ",What do herbivorous animals eat?,1,1,Plants,TRUE,They eat only plants,Meat,FALSE,Carnivores eat meat,Fish,FALSE,Aquatic food,Insects,FALSE,Some birds eat insects
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,"Herbivorous , carnivorours and omnivorouss ",Which of these is a carnivore?,1,2,Lion,TRUE,Lions eat meat only,Cow,FALSE,Eats grass,Goat,FALSE,Eats plants,Elephant,FALSE,Plant-eater
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,"Herbivorous , carnivorours and omnivorouss ",What does an omnivorous animal eat?,1,3,Both plants and meat,TRUE,Omnivores eat everything,Only meat,FALSE,Carnivores,Only plants,FALSE,Herbivores,Insects only,FALSE,Specific diet
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,"Herbivorous , carnivorours and omnivorouss ",Which animal is an omnivore?,1,4,Bear,TRUE,Bears eat both plants and animals,Tiger,FALSE,Only meat,Cow,FALSE,Only plants,Goat,FALSE,Eats plants
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,"Herbivorous , carnivorours and omnivorouss ",Which animal eats only grass?,1,5,Deer,TRUE,Deer is a herbivore,Duck,FALSE,Eats insects and grains,Lion,FALSE,Only meat,Bear,FALSE,Omnivore
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Aquatic animals,Which of these animals lives in water?,1,1,Fish,TRUE,Fish live in water only,Dog,FALSE,Pet on land,Cow,FALSE,Farm animal,Cat,FALSE,Pet on land
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Aquatic animals,Which one is not an aquatic animal?,1,2,Lion,TRUE,Lion lives on land,Shark,FALSE,Lives in water,Dolphin,FALSE,Water animal,Octopus,FALSE,Aquatic animal
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Aquatic animals,Which animal swims with fins?,1,3,Fish,TRUE,Fins help fish swim,Duck,FALSE,Uses feet,Lion,FALSE,Lives on land,Snake,FALSE,Crawls
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Aquatic animals,What helps fish to breathe in water?,1,4,Gills,TRUE,Fish use gills to breathe,Lungs,FALSE,Land animals use lungs,Nose,FALSE,Used by humans,Ears,FALSE,Not for breathing
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Aquatic animals,Which animal is the largest in the ocean?,1,5,Blue whale,TRUE,Blue whale is the largest,Octopus,FALSE,Not the biggest,Shark,FALSE,Smaller than whale,Crab,FALSE,Small
